id,type,llama3_bertscore_precision,llama3_bertscore_recall,llama3_bertscore_f1,llama3.2_bertscore_precision,llama3.2_bertscore_recall,llama3.2_bertscore_f1
1,news,0.8656,0.9468,0.9044,0.863,0.9436,0.9015
2,definition,0.8623,0.9464,0.9024,0.8598,0.9408,0.8985
3,history,0.871,0.9259,0.8976,0.8832,0.9507,0.9157
4,tech,0.8494,0.9317,0.8886,0.8723,0.9212,0.8961
5,science,0.8586,0.8921,0.875,0.8558,0.89,0.8726
6,economics,0.863,0.9265,0.8936,0.8778,0.9257,0.9011
7,history,0.8796,0.9541,0.9153,0.8727,0.9509,0.9101
8,tech,0.8707,0.935,0.9017,0.8713,0.935,0.902
9,environment,0.8796,0.9005,0.8899,0.8754,0.9106,0.8927
10,tech,0.8511,0.9247,0.8864,0.8491,0.9247,0.8853
11,science,0.8895,0.9541,0.9207,0.8862,0.9512,0.9175
12,environment,0.8532,0.9129,0.8821,0.8908,0.9293,0.9096
13,literature,0.8598,0.9027,0.8807,0.879,0.9548,0.9154
14,news,0.84,0.911,0.8741,0.847,0.9337,0.8882
15,tech,0.8579,0.9356,0.8951,0.8733,0.9346,0.9029
